"TimeStamp","Counter","PresenceState","MovementIntervalCount","DetectionCount","MovementSlowItem","MovementFastItem","DetectionDistance","DetectionRadarCrossSection","DetectionVelocity"
"2018-04-24T09:59:55.312-05:00","6611","1","137","0","[3.78381,3.28467,5.83942,9.12409,9.85401,4.74453,1.09489,7.29927,5.83942,1.09489,0.364964,1.09489,1.09489,0.364964,0,1.09489,2.91971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1168,47.8102,56.5693,69.3431,62.4088,10.9489,31.7518,62.0438,56.9343,9.48905,5.83942,5.47445,0.729927,0,0.729927,0.729927,2.18978,2.18978,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.729927,0,0]","[3.931,38.4615,50,38.4615,19.2308,42.3077,46.1538,38.4615,42.3077,57.6923,50,38.4615,30.7692,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2308,19.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:59:57.306-05:00","6645","1","137","0","[6.32246,6.20438,17.1533,24.4526,18.2482,10.219,4.74453,13.8686,13.8686,2.91971,1.45985,3.64964,2.91971,0.729927,1.82482,3.64964,7.29927,2.18978,0,0,0.729927,0.729927,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5401,64.9635,74.0876,87.9562,75.5474,45.2555,64.5985,80.292,81.0219,36.1314,18.6131,6.93431,0.729927,0,2.18978,3.28467,2.91971,2.55474,2.18978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37956,7.29927,6.20438,5.10949,1.82482]","[13.2636,0,0,0,0,0,0,0,0,0,0,0,34.6154,61.5385,73.0769,53.8462,69.2308,80.7692,88.4615,80.7692,46.1538,15.3846,15.3846,61.5385,88.4615,88.4615,92.3077,76.9231,50,23.0769,23.0769,23.0769,30.7692,19.2308,7.69231,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846,46.1538,61.5385,61.5385,57.6923,53.8462,53.8462,42.3077,34.6154,15.3846,15.3846,11.5385,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,11.5385,26.9231,38.4615,30.7692]","[]","[]","[]"
"2018-04-24T09:59:58.303-05:00","6662","1","137","0","[6.54787,6.56934,16.0584,24.0876,17.1533,10.219,4.74453,13.8686,13.8686,2.55474,1.45985,2.91971,2.55474,0.729927,2.18978,3.64964,9.48905,3.64964,0,0,1.09489,0.729927,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9051,65.3285,76.2774,89.781,79.1971,48.1752,66.4234,81.3869,80.6569,39.0511,23.7226,8.39416,0.364964,0,2.55474,3.64964,3.64964,2.91971,2.91971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10949,7.66423,6.56934,6.20438,2.91971]","[11.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5385,65.3846,76.9231,53.8462,34.6154,23.0769,7.69231,0,0,0,7.69231,11.5385,30.7692,50,69.2308,23.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,34.6154,69.2308,88.4615,88.4615,65.3846,88.4615,88.4615,84.6154,84.6154,73.0769,57.6923,38.4615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9231,38.4615,38.4615,26.9231,11.5385]","[]","[]","[]"
"2018-04-24T09:59:59.300-05:00","6679","1","137","0","[6.6579,7.66423,15.6934,24.8175,16.7883,11.3139,5.47445,13.5036,13.8686,2.91971,1.45985,3.64964,2.55474,1.09489,3.64964,4.0146,10.9489,5.10949,0,0,1.09489,1.09489,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,49.2701,64.5985,75.1825,90.8759,80.292,49.635,65.6934,81.0219,79.562,37.9562,25.1825,9.12409,0.364964,0,2.91971,3.64964,3.64964,3.28467,2.91971,0.364964,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83942,8.0292,6.93431,6.56934,4.37956]","[8.65385,3.84615,11.5385,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846,46.1538,38.4615,11.5385,0,19.2308,53.8462,61.5385,61.5385,61.5385,61.5385,53.8462,34.6154,38.4615,46.1538,30.7692,3.84615,0,0,0,0,3.84615,0,0,0,0,0,0,0,23.0769,38.4615,53.8462,57.6923,38.4615,50,57.6923,61.5385,61.5385,30.7692,19.2308,11.5385,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:00.297-05:00","6696","1","137","0","[6.79208,9.48905,14.2336,24.8175,16.7883,12.0438,6.20438,14.5985,13.8686,3.28467,2.18978,3.28467,2.91971,2.18978,4.74453,5.10949,9.85401,5.47445,0,0,1.09489,0.729927,0,0,0.729927,0.364964,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,49.635,64.2336,76.2774,91.9708,83.2117,45.9854,67.8832,79.927,82.1168,38.6861,25.1825,10.5839,0.364964,0,3.64964,3.28467,3.64964,3.64964,2.55474,0.364964,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83942,7.29927,8.75912,8.39416,4.37956]","[8.99321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5385,26.9231,30.7692,23.0769,0,23.0769,80.7692,96.1538,65.3846,88.4615,88.4615,80.7692,92.3077,76.9231,65.3846,46.1538,38.4615,7.69231,7.69231,11.5385,11.5385,7.69231,3.84615,26.9231,30.7692,30.7692,30.7692,19.2308,15.3846,15.3846,23.0769,19.2308,15.3846,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:01.293-05:00","6713","1","137","0","[7.12216,10.219,13.1387,24.8175,17.1533,11.6788,6.93431,14.9635,14.5985,4.0146,2.18978,3.64964,3.28467,4.0146,5.10949,5.47445,10.5839,6.93431,1.09489,0.364964,1.45985,1.09489,0,0.729927,2.18978,3.28467,0,0,0.729927,0.364964,0,0,0.729927,0,0,0,0,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,50,65.3285,77.3723,91.2409,85.4015,50.365,69.3431,81.3869,82.4818,41.9708,26.2774,16.0584,0.364964,0,4.0146,3.28467,3.28467,3.64964,3.28467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83942,10.219,9.48905,9.85401,5.47445]","[6.13688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,0,0,0,0,23.0769,26.9231,23.0769,46.1538,53.8462,50,53.8462,42.3077,26.9231,7.69231,11.5385,11.5385,3.84615,0,0,3.84615,15.3846,26.9231,30.7692,26.9231,0,26.9231,73.0769,92.3077,88.4615,61.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:02.290-05:00","6730","1","137","0","[7.54079,10.9489,13.1387,24.0876,16.7883,11.6788,7.29927,14.9635,15.3285,3.64964,2.18978,4.0146,4.0146,4.37956,5.47445,6.20438,11.3139,8.0292,2.55474,0.364964,1.82482,1.09489,0,1.09489,2.55474,6.20438,1.45985,1.09489,2.18978,0.364964,0,2.91971,0.729927,0,0,0.364964,0,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09489,51.0949,66.0584,75.1825,93.4307,88.3212,56.2044,72.2628,83.9416,84.3066,45.6204,30.292,20.073,1.09489,0,3.64964,3.28467,3.28467,3.28467,3.28467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39416,12.4088,12.0438,11.6788,5.47445]","[2.06448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,7.69231,7.69231,19.2308,26.9231,26.9231,26.9231,23.0769,19.2308,19.2308,15.3846,7.69231,0,0,0,0,0,7.69231,15.3846,19.2308,23.0769,3.84615,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:03.287-05:00","6747","1","137","0","[8.2251,10.9489,13.5036,22.9927,16.7883,11.3139,6.93431,14.5985,15.3285,4.0146,2.55474,4.37956,4.37956,4.74453,5.10949,5.83942,13.1387,8.39416,2.91971,0.364964,2.18978,1.45985,0,1.09489,3.28467,7.29927,3.28467,2.18978,2.55474,0.364964,0,5.83942,2.18978,0,0,1.45985,0,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,2.18978,8.75912,13.8686,12.4088,2.18978,0,0,0.729927,0,0,0,0,0,0,1.45985,53.6496,67.5182,78.1022,94.8905,88.3212,62.4088,72.9927,82.8467,85.0365,50.7299,34.3066,22.9927,1.45985,1.09489,3.64964,3.28467,3.28467,3.64964,3.28467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48905,16.0584,16.7883,12.0438,5.83942]","[12.1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2308,73.0769,61.5385,84.6154,100,92.3077,96.1538,84.6154,73.0769,84.6154,76.9231,53.8462,38.4615,0,3.84615,3.84615,7.69231,15.3846,19.2308,23.0769,30.7692,19.2308,53.8462,88.4615,96.1538,96.1538,84.6154,57.6923,30.7692,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2308,7.69231,0,0]","[]","[]","[]"
"2018-04-24T10:00:04.284-05:00","6764","1","137","0","[9.10262,10.5839,13.8686,23.3577,16.4234,10.5839,6.93431,14.5985,14.9635,3.64964,2.55474,4.37956,4.37956,5.10949,4.74453,5.83942,13.1387,8.39416,3.28467,0.364964,2.18978,1.45985,0,1.09489,3.64964,7.29927,3.28467,2.18978,2.55474,0.364964,0,7.29927,2.91971,0,0,1.09489,0,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.364964,0,0,0,0,0.364964,4.0146,6.93431,0.729927,0,0,0.729927,7.29927,10.219,14.9635,22.6277,27.0073,14.5985,11.3139,8.75912,3.64964,1.09489,0,0,0,0,0,2.91971,53.2847,71.5328,78.4672,94.1606,89.0511,63.5037,75.5474,84.6715,85.7664,53.2847,35.4015,24.8175,1.45985,1.09489,2.91971,3.28467,2.91971,3.64964,2.91971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9489,17.8832,19.708,13.8686,5.83942]","[7.74887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1538,69.2308,84.6154,80.7692,92.3077,96.1538,88.4615,84.6154,50,38.4615,34.6154,34.6154,23.0769,0,0,0,26.9231,30.7692,30.7692,30.7692,3.84615,0,19.2308,23.0769,30.7692,23.0769,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:05.280-05:00","6781","1","137","0","[10.1304,10.5839,13.5036,22.6277,16.4234,10.219,6.93431,14.2336,14.5985,3.28467,2.18978,4.0146,4.74453,5.10949,4.74453,5.47445,12.0438,8.0292,3.28467,0.729927,1.82482,1.82482,0,1.09489,3.64964,6.93431,3.28467,2.18978,2.55474,0.364964,0.364964,7.66423,2.91971,0,0.364964,1.09489,0,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.729927,0,0,0,0,0.364964,11.6788,14.5985,1.82482,0,0,0.729927,14.2336,18.6131,20.438,40.146,41.2409,27.3723,18.9781,25.5474,16.0584,7.66423,2.91971,1.09489,0,0,0,4.0146,53.6496,71.8978,80.292,92.7007,88.6861,66.0584,77.0073,86.1314,87.5912,55.4745,35.7664,24.0876,1.82482,1.09489,2.55474,3.28467,2.55474,2.55474,2.55474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4088,20.8029,19.3431,14.5985,5.83942]","[2.79977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5385,3.84615,15.3846,26.9231,34.6154,38.4615,38.4615,23.0769,19.2308,15.3846,11.5385,11.5385,11.5385,0,0,23.0769,26.9231,30.7692,26.9231,3.84615,0,0,3.84615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
