"TimeStamp","Counter","PresenceState","MovementIntervalCount","DetectionCount","MovementSlowItem","MovementFastItem","DetectionDistance","DetectionRadarCrossSection","DetectionVelocity"
"2018-04-24T10:00:49.141-05:00","7529","1","137","0","[14.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3431,63.5037,88.3212,92.7007,94.8905,97.0803,94.8905,90.146,86.1314,90.8759,88.6861,85.4015,67.1533,40.8759,36.4963,77.0073,92.7007,89.0511,74.4526,35.7664,28.1022,17.5182,9.85401,6.56934,6.56934,6.93431,4.0146,5.47445,1.09489,0,0,0,0,0,0,0,0,0,0,0.364964,7.66423,38.3212,61.3139,77.3723,57.6642,6.20438,12.7737,22.6277,20.8029,5.47445,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0.364964,1.82482,1.82482,0,0]","[2.14932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,15.3846,15.3846,11.5385,15.3846,23.0769,11.5385,15.3846,11.5385,15.3846,19.2308,19.2308,11.5385,0,3.84615,15.3846,11.5385,0,23.0769,26.9231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:51.135-05:00","7563","1","137","0","[14.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7372,71.1679,88.6861,92.7007,95.9854,98.5401,94.8905,90.5109,91.2409,89.781,91.6058,80.292,65.3285,37.2263,34.3066,81.3869,94.5256,91.9708,71.8978,33.5766,27.0073,17.1533,9.85401,5.83942,5.47445,5.83942,3.64964,4.74453,1.45985,0,0,0,0,0,0,0,0,0,0,0,8.0292,34.6715,60.219,74.4526,53.2847,6.56934,14.5985,20.438,19.3431,4.37956,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.364964,0.729927,0,0,0,0,0,0,0,0,0,0,0.364964,0.729927,1.09489,0,0]","[11.5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9231,61.5385,84.6154,88.4615,88.4615,88.4615,76.9231,88.4615,88.4615,92.3077,69.2308,23.0769,23.0769,34.6154,30.7692,61.5385,53.8462,53.8462,46.1538,23.0769,7.69231,3.84615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,38.4615,34.6154,23.0769,23.0769,30.7692,42.3077,50,34.6154,26.9231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,3.84615,0,0]","[]","[]","[]"
"2018-04-24T10:00:52.133-05:00","7580","1","137","0","[13.9599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9124,72.2628,84.6715,90.146,95.9854,98.9051,97.0803,89.0511,93.0657,92.7007,91.9708,81.7518,63.5037,36.4963,36.4963,80.6569,94.8905,93.0657,74.0876,31.0219,27.0073,16.0584,9.48905,5.83942,5.47445,5.10949,2.91971,4.37956,1.45985,0,0,0,0,0,0,0,0,0,0,0,8.0292,35.0365,56.5693,73.3577,51.8248,5.83942,14.5985,22.2628,18.9781,5.47445,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.364964,0.729927,0,0,0,0,0,0,0,0,0,0,0.729927,1.09489,1.09489,0,0]","[5.48643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5385,23.0769,34.6154,34.6154,19.2308,15.3846,26.9231,30.7692,65.3846,88.4615,88.4615,53.8462,19.2308,38.4615,53.8462,53.8462,50,26.9231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:53.129-05:00","7597","1","137","0","[13.8686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3577,68.9781,80.292,88.6861,96.7153,99.635,97.8102,90.5109,91.9708,93.4307,88.6861,81.3869,63.8686,36.4963,37.9562,79.1971,95.6204,94.1606,71.1679,33.2117,28.1022,18.9781,10.9489,5.83942,5.47445,5.83942,3.28467,4.37956,2.18978,0,0,0,0,0,0,0,0,0,0,0,5.10949,32.1168,56.9343,73.7226,50.365,6.20438,14.9635,21.5328,18.2482,5.47445,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.364964,0.729927,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.364964,0,0]","[3.08258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,15.3846,23.0769,23.0769,11.5385,3.84615,11.5385,11.5385,15.3846,42.3077,38.4615,19.2308,7.69231,15.3846,38.4615,46.1538,38.4615,26.9231,11.5385,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:54.126-05:00","7614","1","137","0","[14.0243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1679,67.1533,81.0219,87.9562,96.7153,99.635,97.0803,94.5256,93.7956,93.0657,87.2263,79.1971,63.5037,40.146,40.5109,79.562,95.6204,91.2409,71.5328,39.781,36.8613,22.6277,13.8686,8.0292,5.83942,7.29927,5.47445,5.83942,2.18978,0,0,0,0,0,0,0,0,0,0,0,3.64964,29.927,55.8394,69.708,47.8102,5.10949,16.0584,24.0876,17.8832,5.83942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0.729927,0,0,0,0,0.364964,0,0,0,0,0,0,0.729927,0.364964,0,0]","[4.72285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,15.3846,11.5385,3.84615,3.84615,7.69231,7.69231,15.3846,19.2308,15.3846,30.7692,65.3846,69.2308,65.3846,57.6923,53.8462,53.8462,53.8462,30.7692,23.0769,15.3846,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:55.122-05:00","7631","1","137","0","[14.4429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1679,66.0584,80.292,86.1314,97.8102,99.635,97.8102,93.4307,92.7007,93.4307,86.8613,79.1971,67.1533,50.365,47.0803,80.292,93.7956,91.2409,72.2628,52.1898,45.2555,27.7372,14.5985,9.12409,8.0292,9.12409,7.66423,5.47445,2.18978,0,0,0,0,0,0,0,0,0,0,0,1.45985,27.3723,56.5693,70.8029,46.3504,5.47445,18.2482,27.0073,22.6277,5.10949,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0.729927,0,0,0,0,0.729927,0,0,0,0,0,0,1.45985,0.729927,0,0]","[3.59163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,15.3846,15.3846,11.5385,3.84615,7.69231,11.5385,11.5385,11.5385,26.9231,42.3077,50,57.6923,57.6923,30.7692,30.7692,19.2308,15.3846,11.5385,11.5385,19.2308,15.3846,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:56.120-05:00","7648","1","137","0","[14.9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1679,66.7883,79.1971,84.3066,98.9051,98.9051,98.1752,93.4307,91.9708,90.8759,84.6715,75.9124,71.1679,60.9489,59.4891,82.1168,93.7956,90.5109,75.1825,61.6788,57.6642,36.4963,16.7883,10.219,10.219,9.48905,7.66423,5.47445,1.09489,0,0,0,0,0,0,0,0,0,0,0,1.09489,22.2628,57.2993,74.0876,45.2555,6.56934,20.438,30.292,25.9124,5.83942,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0.729927,0,0,0,0,0.364964,0,0,0,0,0,0,2.18978,1.09489,0,0]","[6.19344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,50,69.2308,57.6923,42.3077,26.9231,15.3846,30.7692,34.6154,34.6154,61.5385,80.7692,84.6154,57.6923,46.1538,30.7692,19.2308,0,0,15.3846,23.0769,19.2308,19.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:57.116-05:00","7665","1","137","0","[15.1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8029,67.8832,78.8321,83.5766,97.4453,97.4453,96.7153,94.8905,93.4307,92.7007,84.3066,79.927,72.2628,64.5985,66.0584,79.927,89.0511,88.3212,76.2774,71.1679,66.0584,43.7956,18.2482,10.9489,11.6788,9.85401,6.20438,5.10949,0.364964,0,0,0,0,0,0,0,0,0,0,0,1.82482,22.2628,56.9343,71.1679,42.7007,7.29927,20.8029,31.7518,27.0073,6.93431,1.45985,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0.729927,0,0,0,0,0.729927,0,0,0,0,0,0,2.55474,1.09489,0,0]","[5.31674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5385,26.9231,34.6154,38.4615,26.9231,19.2308,15.3846,15.3846,65.3846,96.1538,92.3077,73.0769,57.6923,50,34.6154,34.6154,19.2308,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T10:00:58.114-05:00","7682","1","137","0","[15.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8029,68.9781,78.1022,82.4818,97.4453,97.4453,97.4453,93.7956,92.7007,91.2409,88.3212,79.927,72.9927,65.6934,70.073,78.4672,87.5912,87.5912,78.1022,75.5474,70.8029,46.7153,24.0876,11.3139,14.5985,13.8686,5.83942,6.56934,0.729927,0,0,0,0,0,0,0,0,0,0,0,1.09489,22.2628,56.2044,70.438,42.7007,7.66423,21.1679,29.927,25.9124,7.29927,1.45985,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,1.82482,1.09489,0,0]","[8.34276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,69.2308,61.5385,50,46.1538,69.2308,50,61.5385,73.0769,65.3846,61.5385,46.1538,50,50,30.7692,23.0769,23.0769,26.9231,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,11.5385,19.2308,15.3846,26.9231,34.6154,30.7692,30.7692,19.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,3.84615,0,0,0,0,0,0,0,3.84615,3.84615,3.84615,0,0]","[]","[]","[]"
"2018-04-24T10:00:59.110-05:00","7699","1","137","0","[15.3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3431,68.6131,78.4672,82.4818,95.9854,97.4453,97.4453,94.5256,86.1314,89.781,87.2263,80.292,76.2774,67.1533,72.9927,75.1825,82.4818,85.4015,78.4672,79.927,74.0876,49.635,26.2774,15.6934,16.4234,16.0584,9.48905,6.93431,0,0,0,0,0,0,0,0,0,0,0,0,1.09489,22.6277,54.0146,68.6131,41.2409,6.93431,21.1679,28.8321,25.5474,7.29927,1.45985,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0.729927,0,0,0,0,0,0,1.45985,0.729927,0,0]","[8.22964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846,61.5385,88.4615,96.1538,96.1538,92.3077,88.4615,92.3077,73.0769,65.3846,50,34.6154,34.6154,19.2308,15.3846,23.0769,30.7692,15.3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,15.3846,11.5385,0,7.69231,11.5385,7.69231,3.84615,11.5385,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,3.84615,0,0,3.84615,15.3846,3.84615,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0]","[]","[]","[]"
